Order,Image,Country,Name,Spacewalks,# walks,,
62,,"USSR 
Russia",Anatoly Solovyev,"1990: Mir EO-6 EVA 1, 2
1992: Mir EO-12 EVA 1, 2, 3, 4
1995: Mir EO-19 EVA 1, 2, 3
1997: Mir EO-24 EVA 1, 2, 3, 4, 5, 6, 7",16,,
63,null,USSR,Aleksandr Balandin,"1990: Mir EO-6 EVA 1, 2",2,,
64,null,"USSR 
Russia","Gennadi Manakov
1950–2019","1990: Mir EO-7 EVA 1
1993: Mir EO-13 EVA 1, 2",3,,
65,,"USSR 
Russia","Gennadi Strekalov
1940–2004","1990: Mir EO-7 EVA 1
1995: Mir EO-18 EVA 1, 2, 3, 4, 5",6,,
66,,"USSR 
Russia",Viktor Mikhaylovich Afanasyev,"1991: Mir EO-8 EVA 1, 2, 3, 4
1999: Mir EO-27 EVA 1, 2, 3",7,,
67,,U.S.,Jerome Apt,"1991: STS-37 EVA 1, 2",2,,
68,,USSR,Anatoly Artsebarsky,"1991: Mir EO-9 EVA 1, 2, 3, 4, 5, 6",6,,
69,,"USSR 
Russia",Sergei Krikalev,"1991: Mir EO-9 EVA 1, 2, 3, 4, 5, 6
1992: Mir EO-10 EVA 1
2005: Expedition 11 EVA 1",8,,
70,,U.S.,Pierre Thuot,"1992: STS-49 EVA 1, 2, 3",3,,
71,,U.S.,Richard Hieb,"1992: STS-49 EVA 1, 2, 3",3,,
72,,U.S.,Thomas Akers,"1992: STS-49 EVA 3, 4
1993: STS-61 EVA 2, 4",4,,
73,,U.S.,Kathryn C. Thornton,"1992: STS-49 EVA 4
1993: STS-61 EVA 2, 4",3,,
74,,Russia,Aleksandr Kaleri,"1992: Mir EO-11 EVA 1
1996: Mir EO-22 EVA 1, 2
2000: Mir EO-28 EVA 1
2004: Expedition 8 EVA 1",5,,
75,,Russia,Sergei Avdeyev,"1992: Mir EO-12 EVA 1, 2, 3, 4
1995: Mir EO-20 EVA 1, 2
1998: Mir EO-26 EVA 1, 2
1999: Mir EO-27 EVA 2, 3",10,,
76,,U.S.,Gregory J. Harbaugh,"1993: STS-54 EVA 1
1997: STS-82 EVA 2, 4",3,,
77,,U.S.,Mario Runco,1993: STS-54 EVA 1,1,,
78,null,Russia,Aleksandr Poleshchuk,"1993: Mir EO-13 EVA 1, 2",2,,
79,,U.S.,"G. David Low
1956–2008",1993: STS-57 EVA 1,1,,
80,,U.S.,Peter Wisoff,"1993: STS-57 EVA 1
2000: STS-92 EVA 2, 4",3,,
81,,Russia,Vasili Tsibliyev,"1993: Mir EO-14 EVA 1, 2, 3, 4, 5
1997: Mir EO-23 EVA 1",6,,
82,,U.S.,James H. Newman,"1993: STS-51 EVA 1
1998: STS-88 EVA 1, 2, 3
2002: STS-109 EVA 2, 4",6,,
83,,U.S.,Carl E. Walz,"1993: STS-51 EVA 1
2002: Expedition 4 EVA 1, 3",3,,
84,,Russia,Yuri Malenchenko,"1994: Mir EO-16 EVA 1, 2
2000: STS-106 EVA 1
2007: Expedition 16 EVA 1
2012: Expedition 32 EVA 1 
2016: Expedition 46 EVA 3",6,,
85,,Russia,Talgat Musabayev,"1994: Mir EO-16 EVA 1, 2
1998: Mir EO-25 EVA 1, 2, 3, 4, 5",7,,
86,,U.S.,Mark C. Lee,"1994: STS-64 EVA 1
1997: STS-82 EVA 1, 3, 5",4,,
87,,U.S.,Carl J. Meade,1994: STS-64 EVA 1,1,,
88,,U.S.,Michael Foale,"1995: STS-63 EVA 1
1997: Mir EO-24 EVA 2
1999: STS-103 EVA 2
2004: Expedition 8 EVA 1",4,,
89,,U.S.,Bernard Harris,1995: STS-63 EVA 1,1,,
90,,Russia,Vladimir N. Dezhurov,"1995: Mir EO-18 EVA 1, 2, 3, 4, 5
2001: Expedition 3 EVA 1, 2, 3, 4",9,,
91,,Russia,Nikolai Budarin,"1995: Mir EO-19 EVA 1, 2, 3
1998: Mir EO-25 EVA 1, 2, 3, 4, 5",8,,
92,,U.S.,James S. Voss,"1995: STS-69 EVA 1
2000: STS-101 EVA 1
2001: STS-102 EVA 1
2001: Expedition 2 EVA 1",4,,
93,,U.S.,Michael Gernhardt,"1995: STS-69 EVA 1
2001: STS-104 EVA 1, 2, 3",4,,
94,,Germany,Thomas Reiter,"1995-6: Mir EO-20 EVA 1, 3
2006: Expedition 13 EVA 2",3,,
95,,Russia,Yuri Gidzenko,"1995-6: Mir EO-20 EVA 2, 3",2,,
96,,U.S.,Leroy Chiao,"1996: STS-72 EVA 1, 2
2000: STS-92 EVA 1, 3
2005: Expedition 10 EVA 1, 2",6,,
97,,U.S.,Daniel T. Barry,"1996: STS-72 EVA 1
1999: STS-96 EVA 1
2001: STS-105 EVA 1, 2",4,,
98,,U.S.,Winston E. Scott,"1996: STS-72 EVA 2
1997: STS-87 EVA 1, 2",3,,
99,,Russia,Yuri Onufriyenko,"1996: Mir EO-21 EVA 1, 2, 3, 4, 5, 6
2002: Expedition 4 EVA 1, 2",8,,
100,,Russia,Yuri Usachov,"1996: Mir EO-21 EVA 1, 2, 3, 4, 5, 6
2001: Expedition 2 EVA 1",7,,
101,,U.S.,Michael R. Clifford,1996: STS-76 EVA 1,1,,
102,,U.S.,Linda M. Godwin,"1996: STS-76 EVA 1
2001: STS-108 EVA 1",2,,
103,,Russia,Valery Korzun,"1996: Mir EO-22 EVA 1, 2
2002: Expedition 5 EVA 1, 2",4,,
104,,U.S.,Steven Smith,"1997: STS-82 EVA 1, 3, 5
1999: STS-103 EVA 1, 3
2002: STS-110 EVA 1, 3",7,,
105,,U.S.,Joseph R. Tanner,"1997: STS-82 EVA 2, 4
2000: STS-97 EVA 1, 2, 3
2006: STS-115 EVA 1, 3",7,,
106,,U.S.,Jerry M. Linenger,1997: Mir EO-23 EVA 1,1,,
107,,Russia,Pavel Vinogradov,"1997-8: Mir EO-24 EVA 1, 3, 4, 5, 6
2006: Expedition 13 EVA 1
2013: Expedition 35 EVA 1",7,,
108,,U.S.,Scott E. Parazynski,"1997: STS-86 EVA 1
2001: STS-100 EVA 1, 2
2007: STS-120 EVA 1, 2, 3, 4",7,,
109,,Japan,Takao Doi,"1997: STS-87 EVA 1, 2",2,,
110,,U.S.,David Wolf,"1998: Mir EO-24 EVA 7
2002: STS-112 EVA 1, 2, 3
2009: STS-127 EVA 1, 2, 3",7,,
111,,Russia,Gennady Padalka,"1998: Mir EO-26 EVA 1, 2
2004: Expedition 9 EVA 1, 2, 3, 4
2009: Expedition 20 EVA 1, 2
2012: Expedition 32 EVA 1
2015: Expedition 44 EVA 1",10,,
112,,France,Jean-Pierre Haigneré,1999: Mir EO-27 EVA 1,1,,
113,,U.S.,Tamara E. Jernigan,1999: STS-96 EVA 1,1,,
114,,U.S.,John Grunsfeld,"1999: STS-103 EVA 1, 3
2002: STS-109 EVA 1, 3, 5
2009: STS-125 EVA 1, 3, 5",8,,
115,,Switzerland,Claude Nicollier,1999: STS-103 EVA 2,1,,
116,,Russia,Sergei Zalyotin,2000: Mir EO-28 EVA 1,1,,
117,,U.S.,Jeffrey Williams,"2000: STS-101 EVA 1
2006: Expedition 13 EVA 1, 2
2016: Expedition 48 EVA 1, 2",5,,
118,,U.S.,Edward Lu,2000: STS-106 EVA 1,1,,
119,,U.S.,William S. McArthur,"2000: STS-92 EVA 1, 3
2005-6 Expedition 12 EVA 1, 2",4,,
120,,U.S.,Michael Lopez-Alegria,"2000: STS-92 EVA 2, 4
2002: STS-113 EVA 1, 2, 3
2006-7 Expedition 14 EVA 1, 2, 3, 4, 5",10,,
121,,U.S.,Carlos I. Noriega,"2000: STS-97 EVA 1, 2, 3",3,,
122,,U.S.,Thomas D. Jones,"2001: STS-98 EVA 1, 2, 3",3,,
123,,U.S.,Robert Curbeam,"2001: STS-98 EVA 1, 2, 3
2006: STS-116 EVA 1, 2, 3, 4",7,,
124,,U.S.,Susan Helms,2001: STS-102 EVA 1,1,,
125,,U.S.,Andy Thomas,2001: STS-102 EVA 2,1,,
126,,U.S.,Paul W. Richards,2001: STS-102 EVA 2,1,,
127,,Canada,Chris Hadfield,"2001: STS-100 EVA 1, 2",2,,
128,,U.S.,James F. Reilly,"2001: STS-104 EVA 1, 2, 3
2007: STS-117 EVA 1, 3",5,,
129,,U.S.,Patrick G. Forrester,"2001: STS-105 EVA 1, 2
2007: STS-117 EVA 2, 4",4,,
130,,Russia,Mikhail Tyurin,"2001: Expedition 3 EVA 1, 2, 4
2006-7: Expedition 14 EVA 1, 5",5,,
131,,U.S.,"Frank L. Culbertson, Jr.",2001: Expedition 3 EVA 3,1,,
132,,U.S.,Daniel M. Tani,"2001: STS-108 EVA 1
2007: STS-120 EVA 2
2007-8: Expedition 16 EVA 2, 3, 4, 5",6,,
133,,U.S.,Daniel W. Bursch,"2002: Expedition 4 EVA 2, 3",2,,
134,,U.S.,Richard M. Linnehan,"2002: STS-109 EVA 1, 3, 5
2008: STS-123 EVA 1, 2, 3",6,,
135,,U.S.,Michael J. Massimino,"2002: STS-109 EVA 2, 4
2009: STS-125 EVA 2, 4",4,,
136,,U.S.,Rex J. Walheim,"2002: STS-110 EVA 1, 3
2008: STS-122 EVA 1, 2, 3",5,,
137,,U.S.,Lee Morin,"2002: STS-110 EVA 2, 4",2,,
138,,"Costa Rica 
USA",Franklin Chang-Diaz,"2002: STS-111 EVA 1, 2, 3",3,,
139,,France,Philippe Perrin,"2002: STS-111 EVA 1, 2, 3",3,,
140,,U.S.,Peggy Whitson,"2002: Expedition 5 EVA 1
2007-8: Expedition 16 EVA 1, 2, 3, 4, 5
2017: Expedition 50 EVA 1, 4 
2017: Expedition 51 EVA 1, 2",10,,
141,,Russia,Sergei Treshchov,2002: Expedition 5 EVA 2,1,,
142,,U.S.,"Piers Sellers
1955–2016","2002: STS-112 EVA 1, 2, 3
2006: STS-121 EVA 1, 2, 3",6,,
143,,U.S.,John Herrington,"2002: STS-113 EVA 1, 2, 3",3,,
144,,U.S.,Ken Bowersox,"2003: Expedition 6 EVA 1, 2",2,,
145,,U.S.,Donald Pettit,"2003: Expedition 6 EVA 1, 2",2,,
146,,U.S.,Michael Fincke,"2004: Expedition 9 EVA 1, 2, 3, 4
2008-9: Expedition 18 EVA 1, 2
2011: STS-134 EVA 2, 3, 4",9,,
147,,Russia,Salizhan Sharipov,"2005: Expedition 10 EVA 1, 2",2,,
148,,Japan,Soichi Noguchi,"2005: STS-114 EVA 1, 2, 3",3,,
149,,U.S.,Stephen Robinson,"2005: STS-114 EVA 1, 2, 3",3,,
150,,U.S.,John L. Phillips,2005: Expedition 11 EVA 1,1,,
151,,Russia,Valery Tokarev,"2005-6: Expedition 12 EVA 1, 2",2,,
152,,U.S.,Michael E. Fossum,"2006: STS-121 EVA 1, 2, 3
2008: STS-124 EVA 1, 2, 3
2011: Expedition 28 EVA 1",7,,
153,,U.S.,Heidemarie Stefanyshyn-Piper,"2006: STS-115 EVA 1, 3
2008: STS-126 EVA 1, 2, 3",5,,
154,,U.S.,Daniel C. Burbank,2006: STS-115 EVA 2,1,,
155,,Canada,Steven MacLean,2006: STS-115 EVA 2,1,,
156,,Sweden,Christer Fuglesang,"2006: STS-116 EVA 1, 2, 4
2009: STS-128 EVA 2, 3",5,,
157,,U.S.,Sunita Williams,"2006: STS-116 EVA 3
2007: Expedition 14 EVA 2, 3, 4
2012: Expedition 32 EVA 2, 3, Expedition 33 EVA 1",7,,
158,,Russia,Oleg Kotov,"2007: Expedition 15 EVA 1, 2
2010: Expedition 22 EVA 1
2013: Expedition 37 EVA 1
2014: Expedition 38 EVA 4",5,,
159,,Russia,Fyodor Yurchikhin,"2007: Expedition 15 EVA 1, 2, 3
2010: Expedition 24 EVA 1
2010: Expedition 25 EVA 1
2013: Expedition 36 EVA 1, 4, 5
2017: Expedition 52 EVA 1",9,,
160,,U.S.,John D. Olivas,"2007: STS-117 EVA 1, 3
2009: STS-128 EVA 1, 2, 3",5,,
161,,U.S.,Steven Swanson,"2007: STS-117 EVA 2, 4
2009: STS-119 EVA 1, 2
2014: Expedition 39 EVA 1",5,,
162,,U.S.,Clayton Anderson,"2007: Expedition 15 EVA 3
2007: STS-118 EVA 3, 4
2010: STS-131 EVA 1, 2, 3",6,,
163,,U.S.,Richard Mastracchio,"2007: STS-118 EVA 1, 2, 3
2010: STS-131 EVA 1, 2, 3
2013: Expedition 38 EVA 1, 2
2014: Expedition 39 EVA 1",9,,
164,,Canada,Dafydd Williams,"2007: STS-118 EVA 1, 2, 4",3,,
165,,U.S.,Douglas H. Wheelock,"2007: STS-120 EVA 1, 3, 4
2010: Expedition 24 EVA 2, 3, 4",6,,
166,,U.S.,Stanley G. Love,"2008: STS-122 EVA 1, 3",2,,
167,,Germany,Hans Schlegel,2008: STS-122 EVA 2,1,,
168,,U.S.,Garrett Reisman,"2008: STS-123 EVA 1
2010: STS-132 EVA 1, 3",3,,
169,,U.S.,Michael Foreman,"2008: STS-123 EVA 2, 4, 5
2009: STS-129 EVA 1, 2",5,,
170,,U.S.,Robert L. Behnken,"2008: STS-123 EVA 3, 4, 5
2010: STS-130 EVA 1, 2, 3
2020: Expedition 63 EVA 1, 2, 3, 4",10,,
171,,U.S.,"Ronald J. Garan, Jr.","2008: STS-124 EVA 1, 2, 3
2011: Expedition 28 EVA 1",4,,
172,,Russia,Sergei Volkov,"2008: Expedition 17 EVA 1, 2
2011: Expedition 28 EVA 2 
2016: Expedition 46 EVA 3",4,,
173,,Russia,Oleg Kononenko,"2008: Expedition 17 EVA 1, 2
2012: Expedition 30 EVA 1
2018: Expedition 57 EVA 1
2019: Expedition 59 EVA 4",4,,
174,,China,Zhai Zhigang,2008: Shenzhou 7,1,,
175,,China,Liu Boming,2008: Shenzhou 7 (stand-up),1,,
176,,U.S.,Stephen G. Bowen,"2008: STS-126 EVA 1, 3, 4
2010: STS-132 EVA 1, 2
2011: STS-133 EVA 1, 2",7,,
177,,U.S.,Robert S. Kimbrough,"2008: STS-126 EVA 2, 4 
2017: Expedition 50 EVA 1, 2",4,,
178,,Russia,Yuri Lonchakov,"2008-9: Expedition 18 EVA 1, 2",2,,
179,,U.S.,Richard R. Arnold,"2009: STS-119 EVA 1, 3
2018: Expedition 55 EVA 1, 2, 3",5,,
180,,U.S.,Joseph M. Acaba,"2009: STS-119 EVA 2, 3
2017: Expedition 53 EVA 3",3,,
181,,U.S.,Andrew J. Feustel,"2009: STS-125 EVA 1, 3, 5
2011: STS-134 EVA 1, 2, 3
2018: Expedition 55 EVA 1, 2, 3",9,,
182,,U.S.,Michael T. Good,"2009: STS-125 EVA 2, 4
2010: STS-132 EVA 2, 3",4,,
183,,U.S.,Michael R. Barratt,"2009: Expedition 20 EVA 1, 2",2,,
184,,U.S.,Timothy L. Kopra,"2009: STS-127 EVA 1
2015-16: Expedition 46 EVA 1, 2",3,,
185,,U.S.,Thomas Marshburn,"2009: STS-127 EVA 2, 4, 5
2013: Expedition 35 EVA 2",4,,
186,,U.S.,Christopher Cassidy,"2009: STS-127 EVA 3, 4, 5
2013: Expedition 35 EVA 2, Expedition 36 EVA 2, 3
2020: Expedition 63 EVA 1, 2 , 3, 4",10,,
187,,U.S.,Nicole P. Stott,2009: STS-128 EVA 1,1,,
188,,U.S.,Robert Satcher,"2009: STS-129 EVA 1, 3",2,,
189,,U.S.,Randolph Bresnik,"2009: STS-129 EVA 2, 3
2017: Expedition 53 EVA 1, 2, 3",5,,
190,,Russia,Maksim Surayev,"2010: Expedition 22 EVA 1
2014: Expedition 41 EVA 3",2,,
191,,U.S.,Nicholas Patrick,"2010: STS-130 EVA 1, 2, 3",3,,
192,,Russia,Mikhail Korniyenko,"2010: Expedition 24 EVA 1
2015: Expedition 44 EVA 1",2,,
193,,USA,Tracy Caldwell Dyson,"2010: Expedition 24 EVA 2, 3, 4",3,,
194,,Russia,Oleg Skripochka,"2010-11: Expedition 25 EVA 1, Expedition 26 EVA 1, 2",3,,
195,,Russia,Dmitri Kondratyev,"2011: Expedition 26 EVA 1, 2",2,,
196,,USA,B. Alvin Drew,"2011: STS-133 EVA 1, 2",2,,
197,,USA,Gregory Chamitoff,"2011: STS-134 EVA 1, 4",2,,
198,,Russia,Aleksandr Samokutyayev,"2011: Expedition 28 EVA 2
2014: Expedition 41 EVA 3",2,,
199,,Russia,Anton Shkaplerov,2012: Expedition 30 EVA 1,1,,
200,,Japan,Akihiko Hoshide,"2012: Expedition 32 EVA 2, 3, Expedition 33 EVA 1",3,,
201,,Russia,Roman Romanenko,2013: Expedition 35 EVA 1,1,,
202,,Russia,Alexander Misurkin,"2013: Expedition 36 EVA 1, 4, 5
2018: Expedition 54 EVA 2",4,,
203,,Italy,Luca Parmitano,"2013: Expedition 36 EVA 2, 3
2019-20: Expedition 61 EVA 4, 5, 6, 9",6,,
204,,Russia,Sergei Ryazanski,"2013: Expedition 37 EVA 1
2014: Expedition 38 EVA 3, 4
2017: Expedition 52 EVA 1",4,,
205,,USA,Michael S. Hopkins,"2013: Expedition 38 EVA 1, 2",2,,
206,,Russia,Alexander Skvortsov,"2014: Expedition 40 EVA 1, 2",2,,
207,,Russia,Oleg Artemyev,"2014: Expedition 40 EVA 1, 2
2018: Expedition 56 EVA 1",3,,
208,,USA,Reid Wiseman,"2014: Expedition 41 EVA 1, 2",2,,
209,,Germany,Alexander Gerst,2014: Expedition 41 EVA 1,1,,
210,,USA,Butch Wilmore,"2014-15: Expedition 41 EVA 2, Expedition 42 EVA 1, 2, 3",4,,
211,,USA,Terry Virts,2015: Expedition 42 EVA 1,1,,
212,,USA,Scott Kelly,"2015: Expedition 45 EVA 1, 2, Expedition 46 EVA 1",3,,
213,,USA,Kjell Lindgren,"2015: Expedition 45 EVA 1, 2",2,,
214,,U.K.,Tim Peake,2016: Expedition 46 EVA 2,1,,
215,,U.S.,Kathleen Rubins,"2016: Expedition 48 EVA 1, 2",2,,
216,,France,Thomas Pesquet,"2017: Expedition 50 EVA 2, 3",2,,
217,,U.S.,Jack D. Fischer,"2017: Expedition 51 EVA 1, 2",2,,
218,,U.S.,Mark T. Vande Hei,"2017: Expedition 53 EVA 1, 2, Expedition 54 EVA 1, 3",4,,
219,,U.S.,Scott D. Tingle,2018: Expedition 54 EVA 1,1,,
220,,Japan,Norishige Kanai,2018: Expedition 54 EVA 3,1,,
221,,Russia,Sergei Prokopyev,"2018: Expedition 56 EVA 1, Expedition 57 EVA 1",2,,
222,,U.S.,Anne C. McClain,"2019: Expedition 59 EVA 1, 3",2,,
223,,U.S.,Tyler N. Hague,"2019: Expedition 59 EVA 1, 2, Expedition 60 EVA 1",3,,
224,,U.S.,Christina H. Koch,"2019-20: Expedition 59 EVA 2, Expedition 61 EVA 1, 2, 3, 7, 8",6,,
225,,Canada,David Saint-Jacques,2019: Expedition 59 EVA 3,1,,
226,,Russia,Aleksey Ovchinin,2019: Expedition 59 EVA 4,1,,
227,,U.S.,Andrew R. Morgan,"2019-20: Expedition 60 EVA 1, Expedition 61 EVA 1, 2, 4, 5, 6, 9",7,,
228,,U.S.,Jessica Meir,"2019-20: Expedition 61 EVA 3, 7, 8",3,,
