Order,Image,Country,Name,# walks,Year,Mission,,
415,,USA,Butch Wilmore,4,2014-15, Expedition 41 EVA 2,,
416,,USA,Butch Wilmore,4,2014-15, Expedition 42 EVA 1,,
417,,USA,Butch Wilmore,4,2014-15, Expedition 42 EVA 2,,
418,,USA,Butch Wilmore,4,2014-15, Expedition 42 EVA 3,,
419,,USA,Terry Virts,1,2015, Expedition 42 EVA 1,,
420,,USA,Scott Kelly,3,2015, Expedition 45 EVA 1,,
421,,USA,Scott Kelly,3,2015, Expedition 45 EVA 2,,
422,,USA,Scott Kelly,3,2015,Expedition 46 EVA 1,,
423,,USA,Kjell Lindgren,2,2015, Expedition 45 EVA 1,,
424,,USA,Kjell Lindgren,2,2015, Expedition 45 EVA 2,,
425,,U.K.,Tim Peake,1,2016, Expedition 46 EVA 2,,
426,,U.S.,Kathleen Rubins,2,2016, Expedition 48 EVA 1,,
427,,U.S.,Kathleen Rubins,2,2016, Expedition 48 EVA 2,,
428,,France,Thomas Pesquet,2,2017, Expedition 50 EVA 2,,
429,,France,Thomas Pesquet,2,2017, Expedition 50 EVA 3,,
430,,U.S.,Jack D. Fischer,2,2017, Expedition 51 EVA 1,,
431,,U.S.,Jack D. Fischer,2,2017, Expedition 51 EVA 2,,
432,,U.S.,Mark T. Vande Hei,4,2017, Expedition 53 EVA 1,,
433,,U.S.,Mark T. Vande Hei,4,2017, Expedition 53 EVA 2,,
434,,U.S.,Mark T. Vande Hei,4,2017,Expedition 54 EVA 1,,
435,,U.S.,Mark T. Vande Hei,4,2017, Expedition 54 EVA 3,,
436,,U.S.,Scott D. Tingle,1,2018, Expedition 54 EVA 1,,
437,,Japan,Norishige Kanai,1,2018, Expedition 54 EVA 3,,
438,,Russia,Sergei Prokopyev,2,2018,Expedition 56 EVA 1,,
439,,Russia,Sergei Prokopyev,2,2018,Expedition 57 EVA 1,,
440,,U.S.,Anne C. McClain,2,2019, Expedition 59 EVA 1,,
441,,U.S.,Anne C. McClain,2,2019, Expedition 59 EVA 3,,
442,,U.S.,Tyler N. Hague,3,2019, Expedition 59 EVA 1,,
443,,U.S.,Tyler N. Hague,3,2019, Expedition 59 EVA 2,,
444,,U.S.,Tyler N. Hague,3,2019, Expedition 60 EVA 1,,
445,,U.S.,Christina H. Koch,6,2019-20,Expedition 59 EVA 2,,
446,,U.S.,Christina H. Koch,6,2019-20,Expedition 61 EVA 1,,
447,,U.S.,Christina H. Koch,6,2019-20,Expedition 61 EVA 2,,
448,,U.S.,Christina H. Koch,6,2019-20,Expedition 61 EVA 3,,
449,,U.S.,Christina H. Koch,6,2019-20, Expedition 61 EVA 7,,
450,,U.S.,Christina H. Koch,6,2019-20, Expedition 61 EVA 8,,
451,,Canada,David Saint-Jacques,1,2019, Expedition 59 EVA 3,,
452,,Russia,Aleksey Ovchinin,1,2019, Expedition 59 EVA 4,,
453,,U.S.,Andrew R. Morgan,7,2019-20, Expedition 60 EVA 1,,
454,,U.S.,Andrew R. Morgan,7,2019-20, Expedition 61 EVA 1,,
455,,U.S.,Andrew R. Morgan,7,2019-20, Expedition 61 EVA 2,,
456,,U.S.,Andrew R. Morgan,7,2019-20, Expedition 61 EVA 4,,
457,,U.S.,Andrew R. Morgan,7,2019-20, Expedition 61 EVA 5,,
458,,U.S.,Andrew R. Morgan,7,2019-20, Expedition 61 EVA 6,,
459,,U.S.,Andrew R. Morgan,7,2019-20, Expedition 61 EVA 9,,
460,,U.S.,Jessica Meir,3,2019-20, Expedition 61 EVA 3,,
461,,U.S.,Jessica Meir,3,2019-20, Expedition 61 EVA 7,,
462,,U.S.,Jessica Meir,3,2019-20, Expedition 61 EVA 8,,
